StartTime,EndTime,FlowID,FlowMeter,FlowType,RecShipID,InService,MeasMass,MeasLiqVol,MeasGasVol,MeasGasLiqVol,RecMass,RecLiqVol,RecGasVol,RecGasLiqVol,ProductDensity,ProductMolecularWeight,LiquidDensity,GasMolecularWeight,Product,ProductDesc,ProductCategory,ProductFamily,ProductGroup,ProductSortIndex,TrackingGroup,PhysicalState,IsCharge,RecShipSrc,RecShipDest,SourceCC,DestinationCC,FlowCC,TankOpenVol,TankOpenMass,TankCloseVol,TankCloseMass,TankStatus,TankDensity,TankCloseRecMass,TankCloseRecVol,OpenFlag,CloseFlag
06-11-2020 0:00,06-11-2020 23:59,TK776,,T,,IS,0,0,0,0,0,0,0,0,23.60000038,0,22.87999916,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,94254.72393,30250736.96,86255.88992,27683538.07,IS,22.87999916,25494889.69,79436.53709,Y,N
07-11-2020 0:00,07-11-2020 23:59,TK776,,T,,IS,0,0,0,0,0,0,0,0,23.60000038,0,27.14999962,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,86255.60315,27683446.03,71463.63316,22318699.46,IS,27.14999962,23800239.6,76207.46875,N,Y
07-11-2020 0:00,07-11-2020 23:59,TK776Hold,,T,,OS,0,0,0,0,0,0,0,0,23.60000038,0,26,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,0,0,0.0001,0.031458884,OS,26,0,0,N,Y
06-11-2020 0:00,06-11-2020 23:59,TK776Hold,,T,,OS,0,0,0,0,0,0,0,0,23.60000038,0,26,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,0,0,0.0001,0.031458884,OS,26,0,0,Y,N
07-11-2020 0:00,07-11-2020 23:59,TT_110720_0017,TT_110720_0017,R,R_SourCrude_PL,IS,5037223.646,16129,0,0,4961756.466,15887.35694,0,0,23.60000038,,27.15,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,Y
07-11-2020 0:00,07-11-2020 23:59,TK775,,T,,IS,0,0,0,0,0,0,0,0,40,0,42.29999924,0,DOM_SWT_CD,WP SCTU Crude,010 Crudes,CRUDE,SWC,1,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,77578.69435,22116508.36,71076.02103,20262694.88,IS,42.29999924,19715047.24,69155.0221,N,Y
06-11-2020 0:00,06-11-2020 23:59,TK775,,T,,IS,0,0,0,0,0,0,0,0,40,0,42.29999924,0,DOM_SWT_CD,WP SCTU Crude,010 Crudes,CRUDE,SWC,1,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,68563.12862,19546307.4,77578.78043,22116532.9,IS,42.29999924,21407306.6,75091.00753,Y,N
06-11-2020 0:00,06-11-2020 23:59,TK775Hold,,T,,OS,0,0,0,0,0,0,0,0,40,0,35.41,0,DOM_SWT_CD,WP SCTU Crude,010 Crudes,CRUDE,SWC,1,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,0,0,0.0001,0.029685305,OS,35.41,0,0,Y,N
07-11-2020 0:00,07-11-2020 23:59,TK775Hold,,T,,OS,0,0,0,0,0,0,0,0,40,0,35.41,0,DOM_SWT_CD,WP SCTU Crude,010 Crudes,CRUDE,SWC,1,CRU,LIQUID,Y,,,West_Plt,West_Plt,West_Plt,0,0,0.0001,0.029685305,OS,35.41,0,0,N,Y
07-11-2020 0:00,07-11-2020 23:59,TT_110720_0018,TT_110720_0018,R,R_SwtCrude_PL,IS,2684934.352,9269,0,0,2694549.903,9302.195053,0,0,40,,39.55,0,DOM_SWT_CD,WP SCTU Crude,010 Crudes,CRUDE,SWC,1,CRU,LIQUID,Y,R_SwtCrude_PL,TK775,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,Y
07-11-2020 0:00,07-11-2020 23:59,TT_110720_0019,TT_110720_0019,R,R_SwtCrude_TR,IS,172761.4021,606,0,0,172801.2128,606.1396452,0,0,40,,42.3,0,DOM_SWT_CD,WP SCTU Crude,010 Crudes,CRUDE,SWC,1,CRU,LIQUID,Y,R_SwtCrude_TR,TK775,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,Y
07-11-2020 0:00,07-11-2020 23:59,10TK06,,T,,IS,0,0,0,0,0,0,0,0,50,0,49.27999878,0,E_COLO_SWEET,EP Sweet Crude Trucks,010 Crudes,CRUDE,SWC,0,CRU,LIQUID,Y,,,East_Plt,East_Plt,East_Plt,107860.962,29562269.93,113626.5003,31142474.63,IS,49.27999878,32136819.4,117254.4688,N,Y
06-11-2020 0:00,06-11-2020 23:59,10TK06,,T,,IS,0,0,0,0,0,0,0,0,50,0,49.27999878,0,E_COLO_SWEET,EP Sweet Crude Trucks,010 Crudes,CRUDE,SWC,0,CRU,LIQUID,Y,,,East_Plt,East_Plt,East_Plt,120446.6703,33030000.78,107861.2125,29562338.58,IS,49.27999878,29738831.44,108505.1647,Y,N
06-11-2020 0:00,06-11-2020 23:59,10TK26,,T,,IS,0,0,0,0,0,0,0,0,50,0,49.27999878,0,E_COLO_SWEET,EP Sweet Crude Trucks,010 Crudes,CRUDE,SWC,0,CRU,LIQUID,Y,,,East_Plt,East_Plt,East_Plt,25081.4349,6878063.229,26707.16367,7319834.414,IS,49.27999878,7651147.004,27915.99151,Y,N
07-11-2020 0:00,07-11-2020 23:59,10TK26,,T,,IS,0,0,0,0,0,0,0,0,50,0,49.27999878,0,E_COLO_SWEET,EP Sweet Crude Trucks,010 Crudes,CRUDE,SWC,0,CRU,LIQUID,Y,,,East_Plt,East_Plt,East_Plt,28224.25666,7735635.567,30448.61764,8345283.01,IS,49.27999878,8697564.981,31733.9544,N,Y
07-11-2020 0:00,07-11-2020 23:59,10TK38,,T,,IS,0,0,0,0,0,0,0,0,50,0,49.27999878,0,E_COLO_SWEET,EP Sweet Crude Trucks,010 Crudes,CRUDE,SWC,0,CRU,LIQUID,Y,,,East_Plt,East_Plt,East_Plt,41248.07646,11305172.4,39916.13544,10940117.25,IS,49.27999878,11554264.78,42156.91545,N,Y
