site,tag,alias,datetime,value,avgvalue,strvalue,quality
oilsandspi,DB_INV_PA,Total Diluted Bitumen Storage - Prod Acct,2021-04-13T00:00:00.000Z,518170.969,520029.5766,"""""",0
oilsandspi,DIL_INV_PA,Total Free Diluent Storage - Prod Acct,2021-04-13T00:00:00.000Z,61377.7344,59564.84286,"""""",0
oilsandspi,HVGO_INV_PA,Total HVGO Storage - Prod Acct,2021-04-13T00:00:00.000Z,28794.791,28060.70403,"""""",0
oilsandspi,IGO_INV_PA,Total Intermediate Gas Oil Storage - Prod Acct,2021-04-13T00:00:00.000Z,48551.832,48146.72946,"""""",0
oilsandspi,IK_INV_PA,Total Intermediate Kerosene Storage - Prod Acct,2021-04-13T00:00:00.000Z,23816.2363,23902.79512,"""""",0
oilsandspi,IN_INV_PA,Total Intermediate Naphtha Storage - Prod Acct,2021-04-13T00:00:00.000Z,22807.957,23860.62333,"""""",0
oilsandspi,LVGO_INV_PA,Total LVGO Storage - Prod Acct,2021-04-13T00:00:00.000Z,24453.5039,25953.58477,"""""",0
oilsandspi,PB_INV_PA,Total Product Butane Storage - Prod Acct,2021-04-13T00:00:00.000Z,4611.32373,4523.873828,"""""",0
oilsandspi,PGO_INV_PA,Total Product Gas Oil Storage - Prod Acct,2021-04-13T00:00:00.000Z,43697.59,45073.70164,"""""",0
oilsandspi,PK_INV_PA,Total Product Kerosene Storage - Prod Acct,2021-04-13T00:00:00.000Z,109754.352,110278.2753,"""""",0
oilsandspi,PN_INV_PA,Total Product Naphtha Storage - Prod Acct,2021-04-13T00:00:00.000Z,33669.293,33281.92766,"""""",0
oilsandspi,STF_BIT_QTY_PA,Bit in STF (Bit Portion of D/B) PA,2021-04-13T00:00:00.000Z,295836.75,295526.9007,"""""",0
oilsandspi,STF_DB_DIL_QTY,Diluent portion of D/B Storage in BBL,2021-04-13T00:00:00.000Z,180817.828,182248.714,"""""",0
oilsandspi,DB_INV_PA,Total Diluted Bitumen Storage - Prod Acct,2021-04-14T00:00:00.000Z,520803.375,523565.1102,"""""",0
oilsandspi,DIL_INV_PA,Total Free Diluent Storage - Prod Acct,2021-04-14T00:00:00.000Z,61747.1641,61124.22167,"""""",0
oilsandspi,HVGO_INV_PA,Total HVGO Storage - Prod Acct,2021-04-14T00:00:00.000Z,32174.1719,30379.486,"""""",0
oilsandspi,IGO_INV_PA,Total Intermediate Gas Oil Storage - Prod Acct,2021-04-14T00:00:00.000Z,58696.5859,53087.6916,"""""",0
oilsandspi,IK_INV_PA,Total Intermediate Kerosene Storage - Prod Acct,2021-04-14T00:00:00.000Z,21320.4355,22496.3052,"""""",0
oilsandspi,IN_INV_PA,Total Intermediate Naphtha Storage - Prod Acct,2021-04-14T00:00:00.000Z,27218.9238,24284.64915,"""""",0
oilsandspi,LVGO_INV_PA,Total LVGO Storage - Prod Acct,2021-04-14T00:00:00.000Z,23325.44,24759.54078,"""""",0
oilsandspi,PB_INV_PA,Total Product Butane Storage - Prod Acct,2021-04-14T00:00:00.000Z,4469.33936,4658.416004,"""""",0
oilsandspi,PGO_INV_PA,Total Product Gas Oil Storage - Prod Acct,2021-04-14T00:00:00.000Z,51787.82,47742.18591,"""""",0
oilsandspi,PK_INV_PA,Total Product Kerosene Storage - Prod Acct,2021-04-14T00:00:00.000Z,120627.32,114692.8336,"""""",0
oilsandspi,PN_INV_PA,Total Product Naphtha Storage - Prod Acct,2021-04-14T00:00:00.000Z,41115.207,41037.8171,"""""",0
oilsandspi,STF_BIT_QTY_PA,Bit in STF (Bit Portion of D/B) PA,2021-04-14T00:00:00.000Z,298108,298963.0354,"""""",0
oilsandspi,STF_DB_DIL_QTY,Diluent portion of D/B Storage in BBL,2021-04-14T00:00:00.000Z,182214.359,183156.4726,"""""",0
oilsandspi,DB_INV_PA,Total Diluted Bitumen Storage - Prod Acct,2021-04-15T00:00:00.000Z,515206.2,517020.3362,"""""",0
oilsandspi,DIL_INV_PA,Total Free Diluent Storage - Prod Acct,2021-04-15T00:00:00.000Z,66013,64280.97307,"""""",0
oilsandspi,HVGO_INV_PA,Total HVGO Storage - Prod Acct,2021-04-15T00:00:00.000Z,33179.75,33478.91616,"""""",0
oilsandspi,IGO_INV_PA,Total Intermediate Gas Oil Storage - Prod Acct,2021-04-15T00:00:00.000Z,62256.4844,61575.81811,"""""",0
oilsandspi,IK_INV_PA,Total Intermediate Kerosene Storage - Prod Acct,2021-04-15T00:00:00.000Z,21024.1367,21114.58547,"""""",0
oilsandspi,IN_INV_PA,Total Intermediate Naphtha Storage - Prod Acct,2021-04-15T00:00:00.000Z,28517.625,28040.66813,"""""",0
oilsandspi,LVGO_INV_PA,Total LVGO Storage - Prod Acct,2021-04-15T00:00:00.000Z,24515.0352,25416.00502,"""""",0
