site,tag,alias,datetime,value,avgvalue,strvalue,quality
edphd,TK101.MATERIAL,Tank 101 Product code,2021-04-16T00:00:00.000Z,"""""","""""",REFF,0
edphd,TK101.MATERIAL,Tank 101 Product code,2021-04-17T00:00:00.000Z,"""""","""""",REFF,0
edphd,TK101.VOLUME,Tank 101 Volume,2021-04-16T00:00:00.000Z,12613.58301,12613.58301,"""""",0
edphd,TK101.VOLUME,Tank 101 Volume,2021-04-17T00:00:00.000Z,12866.53906,12744.95543,"""""",0
edphd,TK102.MATERIAL,Tank 102 Product code,2021-04-16T00:00:00.000Z,"""""","""""",C5C6,0
edphd,TK102.MATERIAL,Tank 102 Product code,2021-04-17T00:00:00.000Z,"""""","""""",C5C6,0
edphd,TK102.VOLUME,Tank 102 Volume,2021-04-16T00:00:00.000Z,12531.71484,12531.71484,"""""",0
edphd,TK102.VOLUME,Tank 102 Volume,2021-04-17T00:00:00.000Z,12882.58594,12674.68436,"""""",0
edphd,TK104.MATERIAL,Tank 104 Product code,2021-04-16T00:00:00.000Z,"""""","""""",FCCF,0
edphd,TK104.MATERIAL,Tank 104 Product code,2021-04-17T00:00:00.000Z,"""""","""""",FCCF,0
edphd,TK104.VOLUME,Tank 104 Volume,2021-04-16T00:00:00.000Z,38095.05859,38095.05859,"""""",0
edphd,TK104.VOLUME,Tank 104 Volume,2021-04-17T00:00:00.000Z,39497.33203,38844.22022,"""""",0
edphd,TK105.MATERIAL,Tank 105 Product code,2021-04-16T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK105.MATERIAL,Tank 105 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK105.VOLUME,Tank 105 Volume,2021-04-16T00:00:00.000Z,11958.66406,11958.66406,"""""",0
edphd,TK105.VOLUME,Tank 105 Volume,2021-04-17T00:00:00.000Z,11916.00488,11944.40375,"""""",0
edphd,TK106.MATERIAL,Tank 106 Product code,2021-04-16T00:00:00.000Z,"""""","""""",RSLOP,0
edphd,TK106.MATERIAL,Tank 106 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RSLOP,0
edphd,TK106.VOLUME,Tank 106 Volume,2021-04-16T00:00:00.000Z,15116.18555,15116.18555,"""""",0
edphd,TK106.VOLUME,Tank 106 Volume,2021-04-17T00:00:00.000Z,15116.18555,15116.18555,"""""",0
edphd,TK107.MATERIAL,Tank 107 Product code,2021-04-16T00:00:00.000Z,"""""","""""",EDDF,0
edphd,TK107.MATERIAL,Tank 107 Product code,2021-04-17T00:00:00.000Z,"""""","""""",EDDF,0
edphd,TK107.VOLUME,Tank 107 Volume,2021-04-16T00:00:00.000Z,42543.32422,42543.32422,"""""",0
edphd,TK107.VOLUME,Tank 107 Volume,2021-04-17T00:00:00.000Z,42550.61328,42548.16305,"""""",0
