Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
17MPL1,CP01,1,1,SUNCOR,BBL
17MPL2,CP01,2,2,SUNCOR,BBL
17R0003,CP01,3,3,SUNCOR,BBL
17R0005,CP01,4,4,SUNCOR,BBL
17R0008,CP01,5,5,SUNCOR,BBL
17R0058,CP01,6,6,SUNCOR,BBL
17R0304,CP01,7,7,SUNCOR,BBL
17R0482,CP01,8,8,SUNCOR,BBL
17R0486,CP01,9,9,SUNCOR,BBL
17R0571,CP01,10,10,SUNCOR,BBL
17R0602,CP01,11,11,SUNCOR,BBL
17R0651,CP01,12,12,SUNCOR,BBL
17R0653,CP01,13,13,SUNCOR,BBL
17R0671,CP01,14,14,SUNCOR,BBL
17R0801,CP01,15,15,SUNCOR,BBL
17R0804,CP01,16,16,SUNCOR,BBL
17R0806,CP01,17,17,SUNCOR,BBL
17R0873,CP01,18,18,SUNCOR,BBL
17R1502,CP01,19,19,SUNCOR,BBL
17R1503,CP01,20,20,SUNCOR,BBL
17R1504,CP01,21,21,SUNCOR,BBL
17R1505,CP01,22,22,SUNCOR,BBL
17R1560,CP01,23,23,SUNCOR,BBL
17R1571,CP01,24,24,SUNCOR,BBL
17R1801,CP01,25,25,SUNCOR,BBL
17R3001,CP01,26,26,SUNCOR,BBL
17R5001,CP01,27,27,SUNCOR,BBL
17R5003,CP01,28,28,SUNCOR,BBL
17R5004,CP01,29,29,SUNCOR,BBL
17R5005,CP01,30,30,SUNCOR,BBL
17R5008,CP01,31,31,SUNCOR,BBL
28R0107,CP01,32,32,SUNCOR,BBL
28R0109,CP01,33,33,SUNCOR,BBL
34R3431,CP01,34,34,SUNCOR,BBL
35R0400,CP01,35,35,SUNCOR,BBL
35R0401,CP01,36,36,SUNCOR,BBL
35R0459,CP01,37,37,SUNCOR,BBL
35R0470,CP01,38,38,SUNCOR,BBL
35R0471,CP01,39,39,SUNCOR,BBL
35R1301,CP01,40,40,SUNCOR,BBL
35R1506,CP01,41,41,SUNCOR,BBL
38REJT_PARAF_S-V,CP01,42,42,SUNCOR,BBL
BBMIX,CP01,43,43,SUNCOR,BBL
BRUT_BAKKEN_UHC_L9,CP01,44,44,SUNCOR,BBL
BRUT_LSB,CP01,45,45,SUNCOR,BBL
BRUT_MSW,CP01,46,46,SUNCOR,BBL
BRUT_SYN,CP01,47,47,SUNCOR,BBL
BRUT_WCS,CP01,48,48,SUNCOR,BBL
BUTANE,CP01,49,49,SUNCOR,BBL
DIESEL_SAISN_FTS,CP01,50,50,SUNCOR,BBL
GA_S-V_LE_LUB,CP01,51,51,SUNCOR,BBL
GA_S-V_LO_LUB,CP01,52,52,SUNCOR,BBL
GAZOLE,CP01,53,53,SUNCOR,BBL
MAZOUT_LO_6C_1.5,CP01,54,54,SUNCOR,BBL
NAPHTA,CP01,55,55,SUNCOR,BBL
NAPHTA_LUB,CP01,56,56,SUNCOR,BBL
PPMIX,CP01,57,57,SUNCOR,BBL
RAFFINAT,CP01,58,58,SUNCOR,BBL
RBOB_10,CP01,59,59,SUNCOR,BBL
REJET,CP01,60,60,SUNCOR,BBL
