site,tag,alias,datetime,value,avgvalue,strvalue,quality
mtphd,17R3002_MAT_PT,17R3002 Product code,2021-04-11T00:00:00.000Z,"""""","""""",BRUT_LSB,0
mtphd,17R3002_NV_PT,17R3002 Net Volume,2021-04-11T00:00:00.000Z,117470.5391,120725.8459,"""""",0
mtphd,17R4001_MAT_PT,17R4001 Product code,2021-04-11T00:00:00.000Z,"""""","""""",BRUT_MSW,0
mtphd,17R4001_NV_PT,17R4001 Net Volume,2021-04-11T00:00:00.000Z,124513.3359,136440.0643,"""""",0
mtphd,17R4002_MAT_PT,17R4002 Product code,2021-04-11T00:00:00.000Z,"""""","""""",BRUT_WCS,0
mtphd,17R4002_NV_PT,17R4002 Net Volume,2021-04-11T00:00:00.000Z,85862.03125,85564.53138,"""""",0
mtphd,17R4003_MAT_PT,17R4003 Product code,2021-04-11T00:00:00.000Z,"""""","""""",BRUT_WCS,0
mtphd,17R4003_NV_PT,17R4003 Net Volume,2021-04-11T00:00:00.000Z,59876.53516,59893.6421,"""""",0
mtphd,17R4004_MAT_PT,17R4004 Product code,2021-04-11T00:00:00.000Z,"""""","""""",BRUT_SYN,0
mtphd,17R4004_NV_PT,17R4004 Net Volume,2021-04-11T00:00:00.000Z,229025.0313,237551.5211,"""""",0
mtphd,17R4005_MAT_PT,17R4005 Product code,2021-04-11T00:00:00.000Z,"""""","""""",BRUT_BAKKEN_UHC_L9,0
mtphd,17R4005_NV_PT,17R4005 Net Volume,2021-04-11T00:00:00.000Z,221089.375,231093.7166,"""""",0
mtphd,17R3002_MAT_PT,17R3002 Product code,2021-04-14T00:00:00.000Z,"""""","""""",BRUT_LSB,0
mtphd,17R3002_NV_PT,17R3002 Net Volume,2021-04-14T00:00:00.000Z,111964.5078,111907.7717,"""""",0
mtphd,17R4001_MAT_PT,17R4001 Product code,2021-04-14T00:00:00.000Z,"""""","""""",BRUT_MSW,0
mtphd,17R4001_NV_PT,17R4001 Net Volume,2021-04-14T00:00:00.000Z,150378.8125,127745.9462,"""""",0
mtphd,17R4002_MAT_PT,17R4002 Product code,2021-04-14T00:00:00.000Z,"""""","""""",BRUT_WCS,0
mtphd,17R4002_NV_PT,17R4002 Net Volume,2021-04-14T00:00:00.000Z,85571.64063,85577.74302,"""""",0
mtphd,17R4003_MAT_PT,17R4003 Product code,2021-04-14T00:00:00.000Z,"""""","""""",BRUT_WCS,0
mtphd,17R4003_NV_PT,17R4003 Net Volume,2021-04-14T00:00:00.000Z,59834.16406,59913.3961,"""""",0
mtphd,17R4004_MAT_PT,17R4004 Product code,2021-04-14T00:00:00.000Z,"""""","""""",BRUT_SYN,0
mtphd,17R4004_NV_PT,17R4004 Net Volume,2021-04-14T00:00:00.000Z,170419.1094,180164.7017,"""""",0
mtphd,17R4005_MAT_PT,17R4005 Product code,2021-04-14T00:00:00.000Z,"""""","""""",BRUT_BAKKEN_UHC_L9,0
mtphd,17R4005_NV_PT,17R4005 Net Volume,2021-04-14T00:00:00.000Z,161442.9375,171524.1105,"""""",0
mtphd,14R0110_MAT_PT,14R0110 Product code,2021-04-17T00:00:00.000Z,"""""","""""",14MAZ_RAFFR,0
mtphd,14R0110_NV_PT,14R0110 Net Volume,2021-04-17T00:00:00.000Z,7239.223633,7258.213559,"""""",0
mtphd,17MPL1_MAT_PT,17MPL1 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BRUT_MST,0
mtphd,17MPL1_NV_PT,17MPL1 Net Volume,2021-04-17T00:00:00.000Z,5188,5188,"""""",0
mtphd,17MPL2_MAT_PT,17MPL2 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BRUT_MSW,0
mtphd,17MPL2_NV_PT,17MPL2 Net Volume,2021-04-17T00:00:00.000Z,3357,3357,"""""",0
mtphd,17R0001_MAT_PT,17R0001 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROPANE_HD5,0
mtphd,17R0001_NV_PT,17R0001 Net Volume,2021-04-17T00:00:00.000Z,247.2891235,248.3016178,"""""",0
mtphd,17R0002_MAT_PT,17R0002 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PPMIX,0
mtphd,17R0002_NV_PT,17R0002 Net Volume,2021-04-17T00:00:00.000Z,473.6734009,535.3717925,"""""",0
mtphd,17R0003_MAT_PT,17R0003 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PPMIX,0
mtphd,17R0003_NV_PT,17R0003 Net Volume,2021-04-17T00:00:00.000Z,97.2192688,455.5547074,"""""",0
mtphd,17R0004_MAT_PT,17R0004 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PPMIX,0
mtphd,17R0004_NV_PT,17R0004 Net Volume,2021-04-17T00:00:00.000Z,609.4320679,274.9546011,"""""",0
mtphd,17R0005_MAT_PT,17R0005 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PPMIX,0
mtphd,17R0005_NV_PT,17R0005 Net Volume,2021-04-17T00:00:00.000Z,69.55085754,69.97310802,"""""",0
mtphd,17R0006_MAT_PT,17R0006 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROPANE_HD5,0
mtphd,17R0006_NV_PT,17R0006 Net Volume,2021-04-17T00:00:00.000Z,164.8901367,755.8803657,"""""",0
mtphd,17R0007_MAT_PT,17R0007 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROPANE_HD5,0
mtphd,17R0007_NV_PT,17R0007 Net Volume,2021-04-17T00:00:00.000Z,769.1293945,836.9383121,"""""",0
mtphd,17R0008_MAT_PT,17R0008 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROPANE_HD5,0
mtphd,17R0008_NV_PT,17R0008 Net Volume,2021-04-17T00:00:00.000Z,635.3312988,287.1119137,"""""",0
mtphd,17R0009_MAT_PT,17R0009 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ISOBUTANE,0
mtphd,17R0009_NV_PT,17R0009 Net Volume,2021-04-17T00:00:00.000Z,1163.345337,913.0246527,"""""",0
mtphd,17R0032_MAT_PT,17R0032 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MAZOUT_LO_6C_1.5,0
mtphd,17R0032_NV_PT,17R0032 Net Volume,2021-04-17T00:00:00.000Z,2685.357422,2685.940405,"""""",0
mtphd,17R0058_MAT_PT,17R0058 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BBMIX,0
mtphd,17R0058_NV_PT,17R0058 Net Volume,2021-04-17T00:00:00.000Z,526.6964111,527.4092816,"""""",0
mtphd,17R0122_MAT_PT,17R0122 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BUTANE,0
mtphd,17R0122_NV_PT,17R0122 Net Volume,2021-04-17T00:00:00.000Z,1632.747192,1213.951693,"""""",0
mtphd,17R0123_MAT_PT,17R0123 Product code,2021-04-17T00:00:00.000Z,"""""","""""",BBMIX,0
mtphd,17R0123_NV_PT,17R0123 Net Volume,2021-04-17T00:00:00.000Z,3939.394775,3947.752034,"""""",0
mtphd,17R0160_MAT_PT,17R0160 Product code,2021-04-17T00:00:00.000Z,"""""","""""",XYLENES,0
mtphd,17R0160_NV_PT,17R0160 Net Volume,2021-04-17T00:00:00.000Z,1455.973755,4622.699064,"""""",0
mtphd,17R0173_MAT_PT,17R0173 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MAZOUT_LE-2,0
mtphd,17R0173_NV_PT,17R0173 Net Volume,2021-04-17T00:00:00.000Z,2483.803955,2489.837242,"""""",0
mtphd,17R0272_MAT_PT,17R0272 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_SAISN_FTS,0
mtphd,17R0272_NV_PT,17R0272 Net Volume,2021-04-17T00:00:00.000Z,18737.48242,18738.67214,"""""",0
mtphd,17R0301_MAT_PT,17R0301 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_1_FTS,0
mtphd,17R0301_NV_PT,17R0301 Net Volume,2021-04-17T00:00:00.000Z,12853.70313,12745.53542,"""""",0
mtphd,17R0304_MAT_PT,17R0304 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_1_FTS,0
mtphd,17R0304_NV_PT,17R0304 Net Volume,2021-04-17T00:00:00.000Z,12592.23047,13685.485,"""""",0
mtphd,17R0305_MAT_PT,17R0305 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_SAISN_FTS,0
mtphd,17R0305_NV_PT,17R0305 Net Volume,2021-04-17T00:00:00.000Z,20992.88477,21662.52735,"""""",0
mtphd,17R0306_MAT_PT,17R0306 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_SAISN_FTS,0
mtphd,17R0306_NV_PT,17R0306 Net Volume,2021-04-17T00:00:00.000Z,15988.09668,8397.973779,"""""",0
mtphd,17R0360_MAT_PT,17R0360 Product code,2021-04-17T00:00:00.000Z,"""""","""""",TOLUENE_NITRATION,0
mtphd,17R0360_NV_PT,17R0360 Net Volume,2021-04-17T00:00:00.000Z,9294.448242,7801.498559,"""""",0
mtphd,17R0361_MAT_PT,17R0361 Product code,2021-04-17T00:00:00.000Z,"""""","""""",HORS_SERVICE,0
mtphd,17R0361_NV_PT,17R0361 Net Volume,2021-04-17T00:00:00.000Z,253.5785217,253.5785217,"""""",0
mtphd,17R0482_MAT_PT,17R0482 Product code,2021-04-17T00:00:00.000Z,"""""","""""",C9AROM,0
mtphd,17R0482_NV_PT,17R0482 Net Volume,2021-04-17T00:00:00.000Z,29786.20117,30135.3566,"""""",0
mtphd,17R0483_MAT_PT,17R0483 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MANUF_SOLV_LCO,0
mtphd,17R0483_NV_PT,17R0483 Net Volume,2021-04-17T00:00:00.000Z,25553.625,25265.10261,"""""",0
mtphd,17R0484_MAT_PT,17R0484 Product code,2021-04-17T00:00:00.000Z,"""""","""""",05ESS_LE_HT,0
mtphd,17R0484_NV_PT,17R0484 Net Volume,2021-04-17T00:00:00.000Z,8964.056641,7422.460435,"""""",0
mtphd,17R0485_MAT_PT,17R0485 Product code,2021-04-17T00:00:00.000Z,"""""","""""",05ESS_LO_HT,0
mtphd,17R0485_NV_PT,17R0485 Net Volume,2021-04-17T00:00:00.000Z,32606.31055,33396.94735,"""""",0
