site,tag,alias,datetime,value,avgvalue,strvalue,quality
srphd,03TK072.VOLN,Tank 072 Volume,2021-04-13T00:00:00.000Z,7090.466309,7564.336525,"""""",0
srphd,03TK073.VOLN,Tank 073 Volume,2021-04-13T00:00:00.000Z,12796.42871,8525.31157,"""""",0
srphd,03TK074.VOLN,Tank 074 Volume,2021-04-13T00:00:00.000Z,5328.788086,5312.41127,"""""",0
srphd,03TK075.VOLN,Tank 075 Volume,2021-04-13T00:00:00.000Z,11615.86621,12162.17453,"""""",0
srphd,03TK076.VOLN,Tank 076 Volume,2021-04-13T00:00:00.000Z,7046.618164,7045.242079,"""""",0
srphd,03TK078.VOLN,Tank 078 Volume,2021-04-13T00:00:00.000Z,11925.12402,12052.65648,"""""",0
srphd,03TK079.VOLN,Tank 079 Volume,2021-04-13T00:00:00.000Z,12374.40332,12662.55523,"""""",0
srphd,03TK080.VOLN,Tank 080 Volume,2021-04-13T00:00:00.000Z,8454.72168,7966.027248,"""""",0
srphd,03TK072.VOLN,Tank 072 Volume,2021-04-13T00:00:00.000Z,6976.708496,6976.708496,"""""",0
srphd,03TK072.VOLN,Tank 072 Volume,2021-04-14T00:00:00.000Z,6906.446289,6009.742543,"""""",0
srphd,03TK073.VOLN,Tank 073 Volume,2021-04-13T00:00:00.000Z,14106.74707,14106.74707,"""""",0
srphd,03TK073.VOLN,Tank 073 Volume,2021-04-14T00:00:00.000Z,16348.9248,15826.6142,"""""",0
srphd,03TK074.VOLN,Tank 074 Volume,2021-04-13T00:00:00.000Z,5332.357422,5332.357422,"""""",0
srphd,03TK074.VOLN,Tank 074 Volume,2021-04-14T00:00:00.000Z,10240.47754,5756.406879,"""""",0
srphd,03TK075.VOLN,Tank 075 Volume,2021-04-13T00:00:00.000Z,11408.9873,11408.9873,"""""",0
srphd,03TK075.VOLN,Tank 075 Volume,2021-04-14T00:00:00.000Z,12557.05176,11800.79686,"""""",0
srphd,03TK076.VOLN,Tank 076 Volume,2021-04-13T00:00:00.000Z,7046.618164,7046.618164,"""""",0
srphd,03TK076.VOLN,Tank 076 Volume,2021-04-14T00:00:00.000Z,7048.401855,7047.631502,"""""",0
srphd,03TK078.VOLN,Tank 078 Volume,2021-04-13T00:00:00.000Z,11896.1543,11896.1543,"""""",0
srphd,03TK078.VOLN,Tank 078 Volume,2021-04-14T00:00:00.000Z,11501.6709,11616.28442,"""""",0
srphd,03TK079.VOLN,Tank 079 Volume,2021-04-13T00:00:00.000Z,12297.27734,12297.27734,"""""",0
srphd,03TK079.VOLN,Tank 079 Volume,2021-04-14T00:00:00.000Z,9819.259766,11119.85458,"""""",0
srphd,03TK080.VOLN,Tank 080 Volume,2021-04-13T00:00:00.000Z,8569.52832,8569.52832,"""""",0
srphd,03TK080.VOLN,Tank 080 Volume,2021-04-14T00:00:00.000Z,8428.048828,9460.485462,"""""",0
srphd,03TK072.VOLN,Tank 072 Volume,2021-04-14T00:00:00.000Z,6922.05957,6922.05957,"""""",0
srphd,03TK072.VOLN,Tank 072 Volume,2021-04-15T00:00:00.000Z,8818.03418,9265.293481,"""""",0
srphd,03TK073.VOLN,Tank 073 Volume,2021-04-14T00:00:00.000Z,16332.85742,16332.85742,"""""",0
srphd,03TK073.VOLN,Tank 073 Volume,2021-04-15T00:00:00.000Z,11311.16406,12871.99141,"""""",0
srphd,03TK074.VOLN,Tank 074 Volume,2021-04-14T00:00:00.000Z,10336.96484,10336.96484,"""""",0
srphd,03TK074.VOLN,Tank 074 Volume,2021-04-15T00:00:00.000Z,10833.69434,10567.98837,"""""",0
srphd,03TK075.VOLN,Tank 075 Volume,2021-04-14T00:00:00.000Z,12557.05176,12557.05176,"""""",0
srphd,03TK075.VOLN,Tank 075 Volume,2021-04-15T00:00:00.000Z,12015.98242,12438.27196,"""""",0
srphd,03TK076.VOLN,Tank 076 Volume,2021-04-14T00:00:00.000Z,7048.401855,7048.401855,"""""",0
srphd,03TK076.VOLN,Tank 076 Volume,2021-04-15T00:00:00.000Z,7046.618164,7047.477116,"""""",0
srphd,03TK078.VOLN,Tank 078 Volume,2021-04-14T00:00:00.000Z,11501.6709,11501.6709,"""""",0
srphd,03TK078.VOLN,Tank 078 Volume,2021-04-15T00:00:00.000Z,10996.73535,11381.99475,"""""",0
srphd,03TK079.VOLN,Tank 079 Volume,2021-04-14T00:00:00.000Z,9810.932617,9810.932617,"""""",0
srphd,03TK079.VOLN,Tank 079 Volume,2021-04-15T00:00:00.000Z,19416.04688,10383.58108,"""""",0
srphd,03TK080.VOLN,Tank 080 Volume,2021-04-14T00:00:00.000Z,8409.494141,8409.494141,"""""",0
srphd,03TK080.VOLN,Tank 080 Volume,2021-04-15T00:00:00.000Z,6301.373535,5915.031138,"""""",0
