Material,StandardUnit,ToUnit,Factor
1,BBL,M3,0.00378541
2,L15,M3,0.001
3,M3,BBL,264.172053
4,M3,BBL,264.172053
100008,TO,KG,0.001
100008,TO,L15,0.0005
100008,TO,TO,1
100009,TO,KG,0.001
100009,TO,L,0.001
100009,TO,L15,0.001
100009,TO,M15,1
100009,TO,TO,1
100010,TO,KG,0.001
100010,TO,TO,1
100011,TO,KG,0.001
100011,TO,L,0.0005
100011,TO,L15,0.0005
100011,TO,M15,0.5
100011,TO,TO,1
100012,L15,KG,1.008064516
100012,L15,L15,1
100012,L15,M15,1000
100013,L15,KG,1.08577633
100013,L15,L,1
100013,L15,L15,1
100013,L15,M15,1000
100014,L15,KG,1.161440186
100014,L15,L,1
100014,L15,L15,1
100014,L15,M15,1000
100015,L15,KG,1.156069364
100015,L15,L,1
100015,L15,L15,1
100015,L15,M15,1000
100016,L15,KG,1.086956522
100016,L15,L,1
100016,L15,L15,1
100016,L15,M15,1000
100017,L15,KG,1.385041551
100017,L15,L,1
100017,L15,L15,1
100017,L15,M15,1000
100018,L15,KG,1.136363636
100018,L15,L,1
100018,L15,L15,1
100018,L15,M15,1000
100019,L15,KG,1.069518717
100019,L15,L,1
100019,L15,L15,1
100019,L15,M15,1000
100020,L15,KG,1.136363636
100020,L15,L,1
100020,L15,L15,1
100020,L15,M15,1000
100021,L15,KG,1.063829787
100021,L15,L,1
100021,L15,L15,1
100021,L15,M15,1000
100022,L15,KG,1.069518717
100022,L15,L,1
100022,L15,L15,1
100022,L15,M15,1000
100023,L15,KG,1.123595506
100023,L15,L,1
100023,L15,L15,1
100023,L15,M15,1000
100024,L15,KG,1.069518717
100024,L15,L,1
100024,L15,L15,1
100024,L15,M15,1000
100025,L15,KG,1.096491228
100025,L15,L15,1
100025,L15,M15,1000
100026,L15,KG,1.35501355
100026,L15,L15,1
100026,L15,M15,1000
100027,L15,KG,1.25
100027,L15,L,1
100027,L15,L15,1
100027,L15,M15,1000
100028,L15,KG,1.145475372
100028,L15,L,1
100028,L15,L15,1
100028,L15,M15,1000
100029,L15,KG,1.201923077
100029,L15,L,1
100029,L15,L15,1
100029,L15,M15,1000
100030,L15,KG,1.123595506
100030,L15,L,1
100030,L15,L15,1
100030,L15,M15,1000
100031,L15,KG,1.020408163
100031,L15,L,1
100031,L15,L15,1
100031,L15,M15,1000
100032,L15,KG,1.086956522
100032,L15,L15,1
100032,L15,M15,1000
100033,L15,KG,1.092896175
100033,L15,L,1
100033,L15,L15,1
100033,L15,M15,1000
100035,L15,KG,1.183431953
100035,L15,L,1
100035,L15,L15,1
100035,L15,M15,1000
100036,L15,KG,1.379310345
100036,L15,L,1
100036,L15,L15,1
100036,L15,M15,1000
100038,L15,KG,1.123595506
100038,L15,L,1
100038,L15,L15,1
100038,L15,M15,1000
100039,L15,KG,1.020408163
100039,L15,L,1
100039,L15,L15,1
100039,L15,M15,1000
100041,L15,KG,1.086956522
100041,L15,L,1
100041,L15,L15,1
100041,L15,M15,1000
100042,L15,KG,1.063829787
100042,L15,L15,1
100042,L15,M15,1000
100043,L15,KG,1.063829787
100043,L15,L15,1
100043,L15,M15,1000
100045,TO,KG,0.001
