Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
14BUT_CONS,CP01,PRODMP01,10117,SUNCOR,L15
14GAZ_NAT,CP01,PRODMP01,10127,SUNCOR,L15
14GZ_COMB_RAFFR,CP01,PRODMP01,10119,,L15
14GZ_REJ_CONS,CP01,PRODMP01,10121,SUNCORTN,L15
14MAZ_RAFF_CONS,CP01,PRODMP01,10129,SUNCOR,L15
14PROP_CONS,CP01,PRODMP01,10123,,L15
2,CP02,PRODCP02,10161,SUNCOR,L15
26GZ_TRCH_CONS,CP01,PRODMP01,10130,SUNCOR,L15
3,CP02,PRODCP02,10162,SUNCOR,L15
48AMNIAC_CONS,CP01,PRODMP01,10125,SHELL,L15
5,CP02,PRODCP02,JETMAT,SUNCOR,L15
BRUT_AMNA,CP01,PRODMP01,10132,SUNCOR,L15
BRUT_ASGARD,CP01,PRODMP01,10133,SUNCOR,L15
BRUT_AZERI,CP01,PRODMP01,10136,SUNCOR,L15
BRUT_BAKKEN_NDS_RAIL,CP01,PRODMP01,10134,SUNCOR,L15
BSUNCOR,CP04,PRODMP02,10117,SUNCOR,L15
BSUNOSP,CP04,PRODMP02,10119,SUNCOR,L15
BSYNCR,CP04,PRODMP02,10121,SUNCOR,L15
C5C6,CP04,PRODMP02,10133,SUNCOR,L15
Crude Oil - OSX (Ultra Low Sulphur),CP01,PRODCP01,10326,SUNCOR,M15
D50,CP04,PRODMP02,10123,SUNCOR,L15
DILUENT,CP04,PRODMP02,10136,SUNCOR,L15
FCOMFG,CP04,PRODMP02,10129,SUNCOR,L15
FNGAS,CP04,PRODMP02,10130,SUNCOR,L15
HSR,CP04,PRODMP02,10125,SUNCOR,L15
JETA,CP04,PRODMP02,10127,SUNCOR,L15
PEFLGNF,CP04,PRODMP02,10132,SUNCOR,L15
RGUA,CP04,PRODMP02,10135,SUNCOR,L15
STOM,CP04,PRODMP02,10128,SUNCOR,L15
OIL-STORAGE-CORR-LD,EP01,NEWBY,1,SUNCOR,L15
Asphalt Unit Crude,GP01,NEWBY,11,SUNCOR,L15
EP Reformer Hydrogen,GP01,NEWBY,11,SUNCOR,L15
EP Crude Unit Diesel,GP01,NEWBY,11,SUNCOR,L15
EP Light Cycle Oil,GP01,NEWBY,11,SUNCOR,L15
WP Sour Naphtha,GP01,NEWBY,11,SUNCOR,L15
WP Propane/Butane Mix,GP01,NEWBY,11,SUNCOR,L15
WP Sour Gas Oil (#4 HDS Feed),GP01,NEWBY,11,SUNCOR,L15
WP Sour LSR/Naph/Kero (#2 HDS Feed),GP01,NEWBY,11,SUNCOR,L15
WP Sour Diesel,GP01,NEWBY,11,SUNCOR,L15
WP Sour Gas Oil,GP01,NEWBY,11,SUNCOR,L15
WP GOHDS/Crude Unit Sweet Gas Oil,GP01,NEWBY,11,SUNCOR,L15
WP FCC Coke Consumed,GP01,NEWBY,11,SUNCOR,L15
EP Misc. Fuel Gas,GP01,NEWBY,11,SUNCOR,L15
EP NG Purchased for fuel,GP01,NEWBY,11,SUNCOR,L15
WP Fuel Gas Consumed,GP01,NEWBY,11,SUNCOR,L15
WP NG Purchased for fuel,GP01,NEWBY,11,SUNCOR,L15
WP NG Purchased as H2 Plant Feed,GP01,NEWBY,11,SUNCOR,L15
WP Water/Steam,GP01,NEWBY,11,SUNCOR,L15
WP H2 Plant Hydrogen,GP01,NEWBY,11,SUNCOR,L15
WP H2 Plant CO2,GP01,NEWBY,11,SUNCOR,L15
WP CO2 from SRU,GP01,NEWBY,11,SUNCOR,L15
WP H2O from SRU,GP01,NEWBY,11,SUNCOR,L15
WP Sulfur,GP01,NEWBY,11,SUNCOR,L15
WP N2 from SRU,GP01,NEWBY,11,SUNCOR,L15
Asphalt Cement 300/400,GP01,NEWBY,11,SUNCOR,L15
Asphalt PG 58-28,GP01,NEWBY,11,SUNCOR,L15
WP SCTU Crude,GP01,NEWBY,11,SUNCOR,L15
WP Conv. >9.0 RVP SubPUL,GP01,NEWBY,11,SUNCOR,L15
WP Conv. >9.0 RVP SubRUL,GP01,NEWBY,11,SUNCOR,L15
EP FCC Gasoline,GP01,NEWBY,11,SUNCOR,L15
#2 low benzene LS reformate,GP01,NEWBY,11,SUNCOR,L15
WP Debut FCC/Poly Gasoline,GP01,NEWBY,11,SUNCOR,L15
#1 low benzene HS reformate,GP01,NEWBY,11,SUNCOR,L15
#1 low benzene LS reformate,GP01,NEWBY,11,SUNCOR,L15
WP Light Straight Run Gasoline,GP01,NEWBY,11,SUNCOR,L15
WP Misc. Gasoline Components,GP01,NEWBY,11,SUNCOR,L15
WP Propane,GP01,NEWBY,11,SUNCOR,L15
EP Normal Butane,GP01,NEWBY,11,SUNCOR,L15
WP Normal Butane,GP01,NEWBY,11,SUNCOR,L15
WP #3 HDS Ultra Low Sulfur Diesel,GP01,NEWBY,11,SUNCOR,L15
WP #1 Ultra Low Sulfur Diesel,GP01,NEWBY,11,SUNCOR,L15
WP #2 Ultra Low Sulfur Diesel,GP01,NEWBY,11,SUNCOR,L15
WP Jet and #1 Ultra Low Sulfur Deisel,GP01,NEWBY,11,SUNCOR,L15
WP Ultra Low Sulfur Kerosine,GP01,NEWBY,11,SUNCOR,L15
WP Raw Biodiesel by Rail Receipts,GP01,NEWBY,11,SUNCOR,L15
WP Carbon Black Oil,GP01,NEWBY,11,SUNCOR,L15
WP Sweet Resid,GP01,NEWBY,11,SUNCOR,L15
Asphalt PG 64-22,GP01,NEWBY,11,SUNCOR,L15
WP O2 to SRU,GP01,NEWBY,11,SUNCOR,L15
