Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
14BUT_CONS,CP01,PRODMP01,10117,SUNCOR,L15
14GAZ_NAT,CP01,PRODMP01,10127,SUNCOR,L15
14GZ_COMB_RAFFR,CP01,PRODMP01,10119,,L15
14GZ_REJ_CONS,CP01,PRODMP01,10121,SUNCORTN,L15
14MAZ_RAFF_CONS,CP01,PRODMP01,10129,SUNCOR,L15
14PROP_CONS,CP01,PRODMP01,10123,,L15
2,CP02,PRODCP02,10161,SUNCOR,L15
26GZ_TRCH_CONS,CP01,PRODMP01,10130,SUNCOR,L15
3,CP02,PRODCP02,10162,SUNCOR,L15
48AMNIAC_CONS,CP01,PRODMP01,10125,SHELL,L15
5,CP02,PRODCP02,JETMAT,SUNCOR,L15
BRUT_AMNA,CP01,PRODMP01,10132,SUNCOR,L15
BRUT_ASGARD,CP01,PRODMP01,10133,SUNCOR,L15
BRUT_AZERI,CP01,PRODMP01,10136,SUNCOR,L15
BRUT_BAKKEN_NDS_RAIL,CP01,PRODMP01,10134,SUNCOR,L15
BSUNCOR,CP04,PRODMP02,10117,SUNCOR,L15
BSUNOSP,CP04,PRODMP02,10119,SUNCOR,L15
BSYNCR,CP04,PRODMP02,10121,SUNCOR,L15
C5C6,CP04,PRODMP02,10133,SUNCOR,L15
Crude Oil - OSX (Ultra Low Sulphur),CP01,PRODCP01,10326,SUNCOR,M15
D50,CP04,PRODMP02,10123,SUNCOR,L15
DILUENT,CP04,PRODMP02,10136,SUNCOR,L15
FCOMFG,CP04,PRODMP02,10129,SUNCOR,L15
FNGAS,CP04,PRODMP02,10130,SUNCOR,L15
HSR,CP04,PRODMP02,10125,SUNCOR,L15
JETA,CP04,PRODMP02,10127,SUNCOR,L15
PEFLGNF,CP04,PRODMP02,10132,SUNCOR,L15
RGUA,CP04,PRODMP02,10135,SUNCOR,L15
STOM,CP04,PRODMP02,10128,SUNCOR,L15
OIL-STORAGE-CORR-LD,EP01,NEWBY,1,SUNCOR,L15

