Tag,Plant,WorkCenter,MaterialNumber,DefaultValuationType,DefaultUnit
14BUT_CONS,CP01,PRODMP01,10117,SUNCOR,L15
14GAZ_NAT,CP01,PRODMP01,10127,SUNCOR,L15
14GZ_COMB_RAFFR,CP01,PRODMP01,10119,,L15
14GZ_REJ_CONS,CP01,PRODMP01,10121,SUNCORTN,L15
14MAZ_RAFF_CONS,CP01,PRODMP01,10129,SUNCOR,L15
14PROP_CONS,CP01,PRODMP01,10123,,L15
2,CP02,PRODCP02,10161,SUNCOR,L15
26GZ_TRCH_CONS,CP01,PRODMP01,10130,SUNCOR,L15
3,CP02,PRODCP02,10162,SUNCOR,L15
48AMNIAC_CONS,CP01,PRODMP01,10125,SHELL,L15
5,CP02,PRODCP02,JETMAT,SUNCOR,L15
BRUT_AMNA,CP01,PRODMP01,10132,SUNCOR,L15
BRUT_ASGARD,CP01,PRODMP01,10133,SUNCOR,L15
BRUT_AZERI,CP01,PRODMP01,10136,SUNCOR,L15
BRUT_BAKKEN_NDS_RAIL,CP01,PRODMP01,10134,SUNCOR,L15
BSUNCOR,CP04,PRODMP02,10117,SUNCOR,L15
BSUNOSP,CP04,PRODMP02,10119,SUNCOR,L15
BSYNCR,CP04,PRODMP02,10121,SUNCOR,L15
C5C6,CP04,PRODMP02,10133,SUNCOR,L15
Crude Oil - OSX (Ultra Low Sulphur),CP01,PRODCP01,10326,SUNCOR,M15
D50,CP04,PRODMP02,10123,SUNCOR,L15
DILUENT,CP04,PRODMP02,10136,SUNCOR,L15
FCOMFG,CP04,PRODMP02,10129,SUNCOR,L15
FNGAS,CP04,PRODMP02,10130,SUNCOR,L15
HSR,CP04,PRODMP02,10125,SUNCOR,L15
JETA,CP04,PRODMP02,10127,SUNCOR,L15
PEFLGNF,CP04,PRODMP02,10132,SUNCOR,L15
RGUA,CP04,PRODMP02,10135,SUNCOR,L15
STOM,CP04,PRODMP02,10128,SUNCOR,L15
CP890H******,GP01,PRODMP02,1,SUNCOR,L15
AC10,GP01,PRODMP02,2,SUNCOR,L15
PB,GP01,PRODMP02,3,SUNCOR,L15
E_CARBBLKOL,GP01,PRODMP02,4,SUNCOR,L15
LBHSREF,GP01,PRODMP02,5,SUNCOR,L15
E_CP890L******,GP01,PRODMP02,6,SUNCOR,L15
E_PURNATGS,GP01,PRODMP02,7,SUNCOR,L15
E_TRANSMIX,GP01,PRODMP02,8,SUNCOR,L15
E_COLO_SWEET,GP01,PRODMP02,9,SUNCOR,L15
E_LSDDYEDAD,GP01,PRODMP02,10,SUNCOR,L15
E_FCCGASOLN,GP01,PRODMP02,11,SUNCOR,L15
E_LBLSREF,GP01,PRODMP02,12,SUNCOR,L15
MISCGASOLINE,GP01,PRODMP02,13,SUNCOR,L15
SWTRESID,GP01,PRODMP02,14,SUNCOR,L15
E_IC4_SALES,GP01,PRODMP02,15,SUNCOR,L15
RAWBIODIESEL,GP01,PRODMP02,16,SUNCOR,L15
E_SRUH2O,GP01,PRODMP02,17,SUNCOR,L15
E_SRUCO2,GP01,PRODMP02,18,SUNCOR,L15
E_NC4,GP01,PRODMP02,19,SUNCOR,L15
H2PLT_CO2,GP01,PRODMP02,20,SUNCOR,L15
SLOP,GP01,PRODMP02,21,SUNCOR,L15
AC20,GP01,PRODMP02,22,SUNCOR,L15
SOURGASOIL,GP01,PRODMP02,23,SUNCOR,L15
PURNATGS_H2,GP01,PRODMP02,24,SUNCOR,L15
SRUOXY,GP01,PRODMP02,25,SUNCOR,L15
E_FUELGSCON,GP01,PRODMP02,26,SUNCOR,L15
DOM_SWT_CD,GP01,PRODMP02,27,SUNCOR,L15
FUELGSCON,GP01,PRODMP02,28,SUNCOR,L15
H2OH2_PLT,GP01,PRODMP02,29,SUNCOR,L15
MISCLTEND,GP01,PRODMP02,30,SUNCOR,L15
PB300/400,GP01,PRODMP02,31,SUNCOR,L15
E_SWTGASOIL,GP01,PRODMP02,32,SUNCOR,L15
SRDIESEL,GP01,PRODMP02,33,SUNCOR,L15
E_SULFUR,GP01,PRODMP02,34,SUNCOR,L15
CR830H******,GP01,PRODMP02,35,SUNCOR,L15
SRUN2,GP01,PRODMP02,36,SUNCOR,L15
SULFUR,GP01,PRODMP02,37,SUNCOR,L15
H2SULGS,GP01,PRODMP02,38,SUNCOR,L15
FCCPOLYC5,GP01,PRODMP02,39,SUNCOR,L15
E_ETHANOL,GP01,PRODMP02,40,SUNCOR,L15
E_SRUN2,GP01,PRODMP02,41,SUNCOR,L15
E_KJ**L05U,GP01,PRODMP02,42,SUNCOR,L15
H2PLANTH2,GP01,PRODMP02,43,SUNCOR,L15
E_SLOP,GP01,PRODMP02,44,SUNCOR,L15
C3,GP01,PRODMP02,45,SUNCOR,L15
SRGASOIL,GP01,PRODMP02,46,SUNCOR,L15
ULTRAJET,GP01,PRODMP02,47,SUNCOR,L15
E_C3_W_ODOR,GP01,PRODMP02,48,SUNCOR,L15
HDS#3LSD,GP01,PRODMP02,49,SUNCOR,L15
ASPHSLOP,GP01,PRODMP02,50,SUNCOR,L15
ULTRAJET#1,GP01,PRODMP02,51,SUNCOR,L15
E_LTCYCOIL,GP01,PRODMP02,52,SUNCOR,L15
SRUNH3,GP01,PRODMP02,53,SUNCOR,L15
E_ULTRA#2LSD,GP01,PRODMP02,54,SUNCOR,L15
ULTRA#1LSD,GP01,PRODMP02,55,SUNCOR,L15
SRUCO2,GP01,PRODMP02,56,SUNCOR,L15
RAWBIODSRAIL,GP01,PRODMP02,57,SUNCOR,L15
E_CR820H,GP01,PRODMP02,58,SUNCOR,L15
LBLSREF,GP01,PRODMP02,59,SUNCOR,L15
E_SRUOXY,GP01,PRODMP02,60,SUNCOR,L15
E_COKECONS,GP01,PRODMP02,61,SUNCOR,L15
NAPSR,GP01,PRODMP02,62,SUNCOR,L15
ULTRAKERO,GP01,PRODMP02,63,SUNCOR,L15
E_CP890H******,GP01,PRODMP02,64,SUNCOR,L15
E_ULTRA#1LSD,GP01,PRODMP02,65,SUNCOR,L15
COKECONS,GP01,PRODMP02,66,SUNCOR,L15
SOURKERO,GP01,PRODMP02,67,SUNCOR,L15
PURNATGS,GP01,PRODMP02,68,SUNCOR,L15
E_SWTRESID,GP01,PRODMP02,69,SUNCOR,L15
E_LSRC5,GP01,PRODMP02,70,SUNCOR,L15
NC4,GP01,PRODMP02,71,SUNCOR,L15
ASPH_SOUR,GP01,PRODMP02,72,SUNCOR,L15
SRUH2O,GP01,PRODMP02,73,SUNCOR,L15
SWTGASOIL,GP01,PRODMP02,74,SUNCOR,L15
LSRC5,GP01,PRODMP02,75,SUNCOR,L15
ETHANOL,GP01,PRODMP02,76,SUNCOR,L15
CARBBLKOL,GP01,PRODMP02,77,SUNCOR,L15
ULTRA#2LSD,GP01,PRODMP02,78,SUNCOR,L15
E_NAP,GP01,PRODMP02,79,SUNCOR,L15
